Day,Cohort,Mouse,Strain,Treatment,P16_percent,P21_percent,NRAS_percent,Full Injection Received,Comments
30,C1,M12,CB17_WT,NRAS_G12V,15.40635244,4.281646956,0,Y,None
30,C1,M34,CB17_SCID,NRAS_G12V,25.1580636,0.027419797,0,Y,None
30,C1,M35,CB17_SCID,NRAS_G12V,5.597994748,0,0,N,Seizure
30,C1,M37,CB17_SCID,NRAS_G12V_D38A,45.92793403,0.018563208,0.065268065,Y,Seizure
30,C1,M39,CB17_SCID,NRAS_G12V_D38A,7.178571429,0,0,Y,Lethargic Recovered
30,C2,M15,CB17_WT,NRAS_G12V_D38A,34.18719212,14.03183602,0.715502555,Y,None
30,C2,M17,CB17_WT,NRAS_G12V_D38A,65.59034253,0.04254233,0,Y,None
30,C2,M18,CB17_WT,NRAS_G12V_D38A,25.669739,1.828665568,0.723783875,Y,None
30,C2,M26,CB17_WT,NRAS_G12V,33.97124013,0.024348673,0.004639725,Y,None
30,C2,M27,CB17_WT,NRAS_G12V,31.94893617,0.017553098,0.019719976,Y,None
30,C2,M47,CB17_SCID,NRAS_G12V,4.840032814,0.089347761,0,Y,None
30,C2,M48,CB17_SCID,NRAS_G12V,6.502121095,0.009379103,0,Y,None
30,C2,M49,CB17_SCID,NRAS_G12V,33.97396156,0.283175471,0,Y,None
30,C2,M50,CB17_SCID,NRAS_G12V_D38A,60.04321988,0.322291853,0.052137643,Y,None
30,C2,M51,CB17_SCID,NRAS_G12V_D38A,36.01773181,0.061652281,0.260466911,Y,Seizure Recovered
30,C2,M52,CB17_SCID,NRAS_G12V_D38A,8.634192932,0.10036285,0.152581582,Y,None
30,C2,M53,CB17_SCID,NRAS_G12V,46.34190185,0.008860535,0,Y,None
30,C3,M85,CB17_WT,NRAS_G12V_D38A,24.56546005,0.128413663,0.007587829,Y,None
30,C3,M88,CB17_WT,NRAS_G12V,5.366230754,0.16808671,0.009263119,Y,None
30,C3,M89,CB17_WT,NRAS_G12V,3.478560358,0.337492784,0.05516273,Y,None
30,C3,M91,CB17_WT,NRAS_G12V_D38A,0.956272277,0.190181024,0,Y,None
6,C1,M30,CB17_SCID,NRAS_G12V_D38A,42.90586089,0.039723524,0.117053845,Y,None
6,C1,M32,CB17_SCID,NRAS_G12V_D38A,2.564303026,0.066566816,0.160847762,Y,None
6,C1,M40,CB17_SCID,NRAS_G12V,4.907443876,1.020339666,0,N,None
6,C1,M41,CB17_SCID,NRAS_G12V,6.971326165,0.411921493,0.122699387,Y,None
6,C1,M42,CB17_SCID,NRAS_G12V,0.954964731,0.73862124,0,Y,None
6,C1,M5,CB17_WT,NRAS_G12V,25.88115237,0.319126303,0,Y,None
6,C1,M8,CB17_WT,NRAS_G12V,11.10421286,0.074992789,0,Y,None
6,C1,M9,CB17_WT,NRAS_G12V_D38A,88.72512896,0.48999166,0.124915922,Y,None
6,C2,M20,CB17_WT,NRAS_G12V_D38A,38.83004725,0.142425796,0.747198007,Y,None
6,C2,M21,CB17_WT,NRAS_G12V_D38A,23.47140039,0.069444444,0.466143278,Y,None
6,C2,M22,CB17_WT,NRAS_G12V_D38A,57.00858856,0.112618127,0.931651414,Y,None
6,C2,M23,CB17_WT,NRAS_G12V,59.32386411,0.0112765,0,Y,None
6,C2,M24,CB17_WT,NRAS_G12V,41.09046604,0.029689742,0,Y,None
6,C2,M25,CB17_WT,NRAS_G12V,0.706829056,0.155318091,0.845316751,Y,None
6,C2,M43,CB17_SCID,NRAS_G12V_D38A,12.92604502,0.027474414,0,Y,None
6,C2,M45,CB17_SCID,NRAS_G12V_D38A,23.54542979,4.24939556,1.472723501,Y,None
6,C2,M46,CB17_SCID,NRAS_G12V,21.97231834,0.116745713,0,Y,None
6,C2,M55,CB17_SCID,NRAS_G12V,44.5417044,0.06245316,0.445583157,Y,None
6,C2,M56,CB17_SCID,NRAS_G12V_D38A,85.26386106,0.397111913,0.790473257,Y,None
6,C3,M93,CB17_SCID,NRAS_G12V,94.2305038,0.174175569,0,Y,None
6,C3,M96/92,CB17_SCID,NRAS_G12V,61.05775306,0.284711647,0,Y,None
6,C4,M106,CB17_WT,NRAS_G12V_D38A,16.18913302,1.474830185,1.829612316,Y,None
6,C4,M108,CB17_WT,NRAS_G12V_D38A,44.1369863,10.71241683,1.145507905,Y,None